baseline,candidate,baseline_case,candidate_case,boundary,baseline_median_ms,candidate_median_ms,speedup_median,time_reduction_percent,baseline_p95_ms,candidate_p95_ms,speedup_p95
cpu_1t,cpu_4t,weights_mvdr_1,weights_mvdr_1,resident,5.02134,4.822841,1.0411581057720958,3.9531081344820307,6.261250999999999,4.9812814,1.2569558909079095
cpu_1t,cpu_4t,weights_mvdr_4,weights_mvdr_4,resident,5.4763695,5.8448530000000005,0.9369558994896876,-6.728609163424792,7.1978588,6.176151449999999,1.165427832894221
cpu_1t,gpu_1t,audio_resident_1,audio_transfer_1,host_input_output,0.281875,2.3748005,0.11869418083750613,-742.5012860310422,0.3425112,3.4328817,0.09977366828574373
cpu_1t,gpu_1t,audio_resident_1,audio_resident_1,resident,0.281875,1.9463455,0.14482269463463707,-590.499512195122,0.3425112,2.581923049999999,0.13265740045970778
cpu_1t,gpu_1t,audio_resident_4,audio_transfer_4,host_input_output,0.356516,2.401264,0.148470139060095,-573.5361105812923,0.47062264999999937,3.18231685,0.14788679826146142
cpu_1t,gpu_1t,audio_resident_4,audio_resident_4,resident,0.356516,1.9666195,0.1812836697693682,-451.62166634877536,0.47062264999999937,2.548824749999999,0.18464300066138306
cpu_1t,gpu_1t,beam_apply_1,beam_apply_1,resident,0.026721,0.957021,0.02792101740714154,-3481.5313798136294,0.029863999999999995,1.08715105,0.027469963810456695
cpu_1t,gpu_1t,beam_apply_4,beam_apply_4,resident,0.076161,0.88862,0.08570705138304338,-1066.7651422644135,0.0779242,1.08907055,0.07155110382885664
cpu_1t,gpu_1t,beam_select_1,beam_select_1,resident,0.1175375,1.5575425,0.07546343037188391,-1225.145166436244,0.12589955,1.8277508499999997,0.06888222757494547
cpu_1t,gpu_1t,beam_select_4,beam_select_4,resident,0.191026,1.5849815,0.12052254237667757,-729.7202998544701,0.21282054999999994,2.1500629499999993,0.09898340418358449
cpu_1t,gpu_1t,fft_1024,fft_1024,resident,0.04704,0.073633,0.6388439965776214,-56.53273809523811,0.04909055,0.07920419999999999,0.6197973087285775
cpu_1t,gpu_1t,fft_2048,fft_2048,resident,0.079265,0.073601,1.076955476148422,7.145650665489178,0.09588419999999999,0.078337,1.2239963235763431
cpu_1t,gpu_1t,fft_4096,fft_4096,resident,0.1555055,0.07563349999999999,2.056039982282983,51.362813533926456,0.20599334999999996,0.08768739999999998,2.3491784452498305
cpu_1t,gpu_1t,fft_512,fft_512,resident,0.031424,0.073185,0.42937760470041675,-132.89523930753563,0.03896574999999998,0.08635459999999998,0.4512295812846101
cpu_1t,gpu_1t,replay_1000_1_batch,replay_transfer_1000_1_batch,host_input_output,13.030475,2.892906,4.504285656015093,77.79892137470046,17.102623549999993,4.1610513499999975,4.11016882788529
cpu_1t,gpu_1t,replay_1000_1_batch,replay_1000_1_batch,resident,13.030475,1.985212,6.563770015494566,84.76485316153095,17.102623549999993,2.859243849999999,5.98151974690791
