case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,2,1.415313,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,2,1.483794,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,3,2.279739,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,3,2.345084,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,4,1.996888,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,4,2.062104,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,5,1.622836,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,5,1.701269,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,6,1.647924,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,6,1.713813,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,7,1.68738,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,7,1.753365,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,8,1.709077,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,8,1.77871,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,9,1.601972,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,9,1.671636,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,10,1.780981,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,10,1.848566,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,11,1.83423,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,11,1.900534,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,12,1.554354,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,12,1.625235,40.0,
