case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,7,1.849911,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,7,1.918199,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,8,1.913111,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,8,1.98812,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,9,2.148411,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,9,2.225788,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,10,2.506078,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,10,2.584607,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,11,2.163163,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,11,2.2439,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,12,2.231643,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,12,2.313564,40.0,
