stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,234,16571735382739,16571735574282,16571740591557,16571748087165,12.704426,5.017275,7.495608,30720
live,235,16571745382739,16571745617952,16571748243551,16571756058874,10.676135,2.625599,7.815323,30720
live,236,16571755382739,16571755645718,16571756209788,16571763669300,8.286561,0.56407,7.459512,30720
live,237,16571765382739,16571765575274,16571765668075,16571773231140,7.848401,0.092801,7.563065,30720
live,238,16571775382739,16571775578687,16571775684513,16571783329594,7.946855,0.105826,7.645081,30720
live,239,16571785382739,16571785666614,16571785809719,16571793962519,8.57978,0.143105,8.1528,30720
live,240,16571795382739,16571795563946,16571795656235,16571853838901,58.456162,0.092289,58.182666,30720
live,241,16571805382739,16571805665888,16571854074328,16571862313528,56.930789,48.40844,8.2392,30720
live,242,16571815382739,16571815663605,16571862505627,16571879257087,63.874348,46.842022,16.75146,30720
live,243,16571825382739,16571825636106,16571879693604,16571889259732,63.876993,54.057498,9.566128,30720
live,244,16571835382739,16571835633792,16571889472247,16571897985339,62.6026,53.838455,8.513092,30720
live,246,16571855382739,16571855616778,16571898157053,16571906213947,50.831208,42.540275,8.056894,30720
live,247,16571865382739,16571865657856,16571906399325,16571914040759,48.65802,40.741469,7.641434,30720
live,248,16571875382739,16571879764421,16571914167224,16571921153674,45.770935,34.402803,6.98645,30720
live,250,16571895382739,16571895757857,16571921281772,16571928123484,32.740745,25.523915,6.841712,30720
live,251,16571905382739,16571905601364,16571928244093,16571935026733,29.643994,22.642729,6.78264,30720
live,252,16571915382739,16571915602121,16571935156590,16571942596582,27.213843,19.554469,7.439992,30720
live,253,16571925382739,16571925562686,16571942712103,16571949481718,24.098979,17.149417,6.769615,30720
live,254,16571935382739,16571935543411,16571949598872,16571956421512,21.038773,14.055461,6.82264,30720
live,255,16571945382739,16571945548776,16571956529673,16571963219288,17.836549,10.980897,6.689615,30720
live,256,16571955382739,16571955668895,16571963335865,16571970145417,14.762678,7.66697,6.809552,30720
live,257,16571965382739,16571965543379,16571970258154,16571977027801,11.645062,4.714775,6.769647,30720
live,258,16571975382739,16571975581065,16571977143547,16571983782089,8.39935,1.562482,6.638542,30720
live,259,16571985382739,16571985526301,16571985584670,16571992726098,7.343359,0.058369,7.141428,30720
live,260,16571995382739,16571995519058,16571995579155,16572051987209,56.60447,0.060097,56.408054,30720
live,261,16572005382739,16572005631881,16572052187979,16572059183965,53.801226,46.556098,6.995986,30720
live,262,16572015382739,16572015529405,16572059317662,16572066564563,51.181824,43.788257,7.246901,30720
live,263,16572025382739,16572025495186,16572066704757,16572074122476,48.739737,41.209571,7.417719,30720
live,264,16572035382739,16572035510055,16572074292910,16572081619076,46.236337,38.782855,7.326166,30720
live,266,16572055382739,16572055523506,16572081764486,16572089071803,33.689064,26.24098,7.307317,30720
live,267,16572065382739,16572065529063,16572089208797,16572096757814,31.375075,23.679734,7.549017,30720
live,268,16572075382739,16572075533533,16572096900183,16572104322382,28.939643,21.36665,7.422199,30720
live,269,16572085382739,16572085530258,16572104472400,16572111233823,25.851084,18.942142,6.761423,30720
